Model,Train_Accuracy,Train_ROC_AUC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Random Forest,0.9941242305540011,0.9997091675301061,0.9865728900255755,0.9853852967227635,0.9959713518352731,0.9906500445235975,0.9985399530141258,0.9920076726342711,0.9937416182387125,0.9950760966875559,0.9944084097517334,0.9989490265352023
XGBoost,0.9962427052522184,0.9995726253438841,0.9929667519181585,0.9928698752228164,0.9973142345568488,0.9950870924519875,0.9963123298865009,0.9932864450127877,0.994193836534167,0.9964189794091316,0.9953051643192489,0.9983904934718475
MLP (64-32),0.9828923175313774,0.9963414621262996,0.9769820971867008,0.9791666666666666,0.9888093106535363,0.9839643652561247,0.989152541863693,0.9741048593350383,0.9769605671245015,0.9870188003581021,0.9819639278557114,0.9889179629841037
"KAN (hidden=64, layers=3, basis=8)",,,,,,,,0.8948209718670077,0.9135909683022145,0.9418084153983886,0.9274851223275292,0.9557013933534815
Logistic Regression,0.7239187784794948,0.7614717993256741,0.7263427109974424,0.7434628975265017,0.9418084153983886,0.8309636650868878,0.7636711669761005,0.7237851662404092,0.7418785310734464,0.9404655326768129,0.8294512435846821,0.7526427050725116
