Model,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,163,731,133,2101,0.7237851662404092,0.7418785310734464,0.9404655326768129,0.8294512435846821,0.7526427050725116
Random Forest,880,14,11,2223,0.9920076726342711,0.9937416182387125,0.9950760966875559,0.9944084097517334,0.9989490265352023
XGBoost,881,13,8,2226,0.9932864450127877,0.994193836534167,0.9964189794091316,0.9953051643192489,0.9983904934718475
MLP (64-32),842,52,29,2205,0.9741048593350383,0.9769605671245015,0.9870188003581021,0.9819639278557114,0.9889179629841037
KAN,695,199,130,2104,0.8948209718670077,0.9135909683022145,0.9418084153983886,0.9274851223275292,0.9557013933534815
